Date:  10:33; onsdag; februar 07; 2024
Model name: Exercise2
Study name: Static 1(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/mm^2 (MPa))  ,X (mm)  ,Y (mm)  ,Z (mm)
442  ,1.1       ,1.1562  ,45.858  ,0
443  ,1.1       ,1.1332  ,45.982  ,0
444  ,1.1       ,1.1592  ,46.184  ,0
445  ,1.1       ,1.0937  ,45.858  ,0
446  ,1.3       ,1.158  ,47.583  ,0
447  ,1.1       ,1.0312  ,45.858  ,0
448  ,1.1       ,1.0083  ,45.977  ,0
449  ,1.1       ,1.0216  ,46.173  ,0
450  ,1.1       ,1.0512  ,46.376  ,0
451  ,1.1       ,0.96875  ,45.858  ,0
452  ,1.2       ,1.0348  ,46.705  ,0
453  ,1.1       ,0.90625  ,45.858  ,0
454  ,1.1       ,0.88599  ,45.976  ,0
455  ,1.1       ,0.91553  ,46.136  ,0
456  ,1.2       ,0.90914  ,47.173  ,0
457  ,1.1       ,0.84375  ,45.858  ,0
458  ,1.1       ,0.88301  ,46.387  ,0
459  ,1.1       ,0.78125  ,45.858  ,0
460  ,1.1       ,0.76302  ,45.976  ,0
461  ,1.1       ,0.79422  ,46.167  ,0
462  ,1.0       ,0.71875  ,45.858  ,0
463  ,1.1       ,0.73893  ,46.766  ,0
464  ,1.3       ,0.74909  ,47.631  ,0
465  ,1.0       ,0.65625  ,45.858  ,0
466  ,1.0       ,0.64003  ,45.976  ,0
467  ,1.1       ,0.67918  ,46.136  ,0
468  ,1.1       ,0.64872  ,46.389  ,0
469  ,1.0       ,0.59375  ,45.858  ,0
470  ,1.2       ,0.52976  ,47.214  ,0
471  ,1.0       ,0.53125  ,45.858  ,0
472  ,1.0       ,0.51397  ,45.98  ,0
473  ,1.1       ,0.55963  ,46.17  ,0
474  ,1.0       ,0.46875  ,45.858  ,0
475  ,1.1       ,0.46603  ,46.371  ,0
476  ,1.1       ,0.4146  ,46.733  ,0
477  ,1.0       ,0.40625  ,45.858  ,0
478  ,1.0       ,0.38802  ,45.976  ,0
479  ,1.1       ,0.41731  ,46.17  ,0
480  ,1.0       ,0.34375  ,45.858  ,0
481  ,1.3       ,0.34375  ,47.703  ,0
482  ,1.0       ,0.28125  ,45.858  ,0
483  ,1.0       ,0.2638  ,45.974  ,0
484  ,1.0       ,0.30067  ,46.134  ,0
485  ,1.1       ,0.28125  ,46.392  ,0
486  ,1.0       ,0.21875  ,45.858  ,0
487  ,1.1       ,0.21875  ,46.728  ,0
488  ,1.0       ,0.15625  ,45.858  ,0
489  ,1.0       ,0.15625  ,45.98  ,0
490  ,1.0       ,0.15625  ,46.152  ,0
491  ,1.0       ,0.093752  ,45.858  ,0
492  ,0.5       ,5.4761  ,48.818  ,0
493  ,0.8       ,4.9632  ,48.857  ,0
494  ,0.3       ,5.6601  ,48.613  ,0
495  ,0.5       ,5.2726  ,48.593  ,0
496  ,0.9       ,4.6338  ,48.706  ,0
497  ,0.3       ,5.7613  ,48.409  ,0
498  ,0.4       ,5.4172  ,48.328  ,0
499  ,0.8       ,4.881  ,48.414  ,0
500  ,1.1       ,4.4133  ,48.472  ,0
501  ,0.2       ,5.8204  ,48.243  ,0
502  ,0.3       ,5.5842  ,48.217  ,0
503  ,0.5       ,5.2293  ,48.306  ,0
504  ,0.2       ,5.873  ,48.127  ,0
505  ,0.2       ,5.6683  ,48.138  ,0
506  ,0.3       ,5.4329  ,48.136  ,0
507  ,0.9       ,4.6484  ,48.167  ,0
508  ,1.3       ,4.0988  ,48.206  ,0
509  ,0.6       ,4.9594  ,48.043  ,0
510  ,0.2       ,5.9022  ,48.219  ,0
511  ,0.2       ,5.8958  ,48.383  ,0
512  ,0.3       ,5.8869  ,48.613  ,0
513  ,0.3       ,5.7908  ,48.927  ,0
514  ,0.2       ,5.7835  ,48.093  ,0
515  ,0.5       ,5.6666  ,49.363  ,0
516  ,0.6       ,5.6204  ,49.865  ,0
517  ,0.2       ,5.7035  ,48.244  ,0
518  ,0.2       ,5.6614  ,48.079  ,0
519  ,0.3       ,5.5967  ,48.39  ,0
520  ,0.2       ,5.6007  ,48.069  ,0
521  ,0.6       ,5.4536  ,49.296  ,0
522  ,0.7       ,5.2434  ,49.856  ,0
523  ,0.2       ,5.5404  ,48.058  ,0
524  ,0.3       ,5.5094  ,48.143  ,0
525  ,0.4       ,5.4603  ,48.54  ,0
526  ,0.2       ,5.4804  ,48.045  ,0
527  ,0.6       ,5.2556  ,48.967  ,0
528  ,0.2       ,5.4206  ,48.03  ,0
529  ,0.4       ,5.3767  ,48.489  ,0
530  ,0.7       ,5.1082  ,49.316  ,0
531  ,0.9       ,4.8268  ,49.69  ,0
532  ,0.3       ,5.3612  ,48.014  ,0
533  ,0.3       ,5.3377  ,48.129  ,0
534  ,0.3       ,5.302  ,47.997  ,0
535  ,0.3       ,5.2431  ,47.978  ,0
536  ,0.4       ,5.2065  ,48.094  ,0
537  ,0.6       ,5.0826  ,48.48  ,0
538  ,0.8       ,4.8767  ,49.27  ,0
539  ,1.0       ,4.5531  ,49.65  ,0
540  ,0.3       ,5.1841  ,47.958  ,0
541  ,0.6       ,5.0723  ,48.252  ,0
542  ,0.4       ,5.123  ,47.938  ,0
543  ,0.5       ,5.0797  ,48.054  ,0
544  ,0.4       ,5.0606  ,47.914  ,0
545  ,0.6       ,4.9577  ,48.178  ,0
546  ,1.0       ,4.63  ,49.246  ,0
547  ,1.1       ,4.3004  ,49.581  ,0
548  ,0.5       ,4.9992  ,47.886  ,0
549  ,0.5       ,4.9391  ,47.856  ,0
550  ,0.6       ,4.9143  ,47.937  ,0
551  ,0.8       ,4.8018  ,48.125  ,0
552  ,0.9       ,4.6498  ,48.343  ,0
553  ,0.6       ,4.8799  ,47.825  ,0
554  ,1.1       ,4.277  ,48.99  ,0
555  ,1.2       ,3.918  ,49.47  ,0
556  ,0.7       ,4.8218  ,47.792  ,0
557  ,0.7       ,4.779  ,47.898  ,0
558  ,0.7       ,4.7647  ,47.758  ,0
559  ,0.9       ,4.645  ,48.025  ,0
